title="Potential"
variables = "x","y","U(V)"
zone i=81,j=81
0.79 0.1 0.173524
0.8 0.1 0
0 0.11 22.6216
0.01 0.11 22.6109
0.02 0.11 22.5788
0.03 0.11 22.5254
0.04 0.11 22.4507
0.05 0.11 22.3548
0.06 0.11 22.2379
0.07 0.11 22.1
0.08 0.11 21.9415
0.09 0.11 21.7626
0.1 0.11 21.5635
0.11 0.11 21.3447
0.12 0.11 21.1067
0.13 0.11 20.8499
0.14 0.11 20.575
0.15 0.11 20.2827
0.16 0.11 19.9738
0.17 0.11 19.649
0.18 0.11 19.3094
0.19 0.11 18.9559
0.2 0.11 18.5897
0.21 0.11 18.2119
0.22 0.11 17.8236
0.23 0.11 17.4262
0.24 0.11 17.0208
0.25 0.11 16.6087
0.26 0.11 16.1912
0.27 0.11 15.7694
0.28 0.11 15.3447
0.29 0.11 14.9181
0.3 0.11 14.4909
0.31 0.11 14.0639
0.32 0.11 13.6383
0.33 0.11 13.215
0.34 0.11 12.7948
0.35 0.11 12.3784
0.36 0.11 11.9667
0.37 0.11 11.5601
0.38 0.11 11.1592
0.39 0.11 10.7646
0.4 0.11 10.3766
0.41 0.11 9.99549
0.42 0.11 9.62159
0.43 0.11 9.25511
0.44 0.11 8.8962
0.45 0.11 8.54495
0.46 0.11 8.20143
0.47 0.11 7.86566
0.48 0.11 7.5376
0.49 0.11 7.21721
0.5 0.11 6.90439
0.51 0.11 6.59902
0.52 0.11 6.30098
0.53 0.11 6.01009
0.54 0.11 5.72618
0.55 0.11 5.44905
0.56 0.11 5.1785
0.57 0.11 4.91429
0.58 0.11 4.6562
0.59 0.11 4.40399
0.6 0.11 4.15741
0.61 0.11 3.9162
0.62 0.11 3.68011
0.63 0.11 3.44888
0.64 0.11 3.22224
0.65 0.11 2.99993
0.66 0.11 2.78167
0.67 0.11 2.56719
0.68 0.11 2.35623
0.69 0.11 2.14851
0.7 0.11 1.94375
0.71 0.11 1.7417
0.72 0.11 1.54207
0.73 0.11 1.34461
0.74 0.11 1.14902
0.75 0.11 0.955052
0.76 0.11 0.762429
0.77 0.11 0.570881
0.78 0.11 0.380139
0.79 0.11 0.189935
0.8 0.11 0
0 0.12 24.7665
0.01 0.12 24.7548
0.02 0.12 24.7196
0.03 0.12 24.661
0.04 0.12 24.5791
0.05 0.12 24.4738
0.06 0.12 24.3455
0.07 0.12 24.1941
0.08 0.12 24.02
0.09 0.12 23.8233
0.1 0.12 23.6044
0.11 0.12 23.3638
0.12 0.12 23.1018
0.13 0.12 22.8192
0.14 0.12 22.5164
0.15 0.12 22.1943
0.16 0.12 21.8537
0.17 0.12 21.4956
0.18 0.12 21.1211
0.19 0.12 20.7312
0.2 0.12 20.3271
0.21 0.12 19.9103
0.22 0.12 19.4819
0.23 0.12 19.0434
0.24 0.12 18.5962
0.25 0.12 18.1417
0.26 0.12 17.6813
0.27 0.12 17.2165
0.28 0.12 16.7485
0.29 0.12 16.2787
0.3 0.12 15.8083
0.31 0.12 15.3385
0.32 0.12 14.8705
0.33 0.12 14.4052
0.34 0.12 13.9436
0.35 0.12 13.4866
0.36 0.12 13.0348
0.37 0.12 12.5889
0.38 0.12 12.1496
0.39 0.12 11.7174
0.4 0.12 11.2926
0.41 0.12 10.8757
0.42 0.12 10.4668
0.43 0.12 10.0663
0.44 0.12 9.67421
0.45 0.12 9.2907
0.46 0.12 8.91578
0.47 0.12 8.54948
0.48 0.12 8.19175
0.49 0.12 7.8425
0.5 0.12 7.50164
0.51 0.12 7.16902
0.52 0.12 6.84448
0.53 0.12 6.52782
0.54 0.12 6.21886
0.55 0.12 5.91735
0.56 0.12 5.62307
0.57 0.12 5.33577
0.58 0.12 5.05518
0.59 0.12 4.78103
0.6 0.12 4.51306
0.61 0.12 4.25097
0.62 0.12 3.99449
0.63 0.12 3.74332
0.64 0.12 3.49718
0.65 0.12 3.25576
0.66 0.12 3.01877
0.67 0.12 2.78592
0.68 0.12 2.5569
0.69 0.12 2.33142
0.7 0.12 2.10919
0.71 0.12 1.88989
0.72 0.12 1.67325
0.73 0.12 1.45896
0.74 0.12 1.24672
0.75 0.12 1.03625
0.76 0.12 0.827239
0.77 0.12 0.619404
0.78 0.12 0.412448
0.79 0.12 0.206077
0.8 0.12 0
0 0.13 26.935
0.01 0.13 26.9222
0.02 0.13 26.8839
0.03 0.13 26.82
0.04 0.13 26.7307
0.05 0.13 26.616
0.06 0.13 26.4761
0.07 0.13 26.311
0.08 0.13 26.1209
0.09 0.13 25.9062
0.1 0.13 25.6672
0.11 0.13 25.4042
0.12 0.13 25.1177
0.13 0.13 24.8085
0.14 0.13 24.4771
0.15 0.13 24.1243
0.16 0.13 23.7512
0.17 0.13 23.3588
0.18 0.13 22.9481
0.19 0.13 22.5206
0.2 0.13 22.0774
0.21 0.13 21.6202
0.22 0.13 21.1503
0.23 0.13 20.6693
0.24 0.13 20.1789
0.25 0.13 19.6806
0.26 0.13 19.1759
0.27 0.13 18.6666
0.28 0.13 18.154
0.29 0.13 17.6398
0.3 0.13 17.1251
0.31 0.13 16.6114
0.32 0.13 16.1
0.33 0.13 15.5918
0.34 0.13 15.088
0.35 0.13 14.5894
0.36 0.13 14.0969
0.37 0.13 13.6112
0.38 0.13 13.133
0.39 0.13 12.6627
0.4 0.13 12.2009
0.41 0.13 11.7478
0.42 0.13 11.3038
0.43 0.13 10.869
0.44 0.13 10.4437
0.45 0.13 10.0278
0.46 0.13 9.62153
0.47 0.13 9.22474
0.48 0.13 8.8374
